Uvorn;En som er uopdragen og fræk i sin opførsel. Bruges især om børn.;7
Vanartet;En som er uopdragen og uartig. Bruges især om børn.;7
Varyl;En baryl eller varyler.;7
Vederstyggelig;Modbydelig.;7
Vissevasse;Et udtryk for at noget er meningsløs snak. Kan også betyde vrøvl eller vås.;7
Vægelsindet;En som ikke kan træffe et valg, men skifter mening hele tiden. Kan også betyde vankelmodig eller ubeslutsom.;7
Værkbruden;En som er lammet af gigt.;7
Yngling;En ungersvend.;7
Yppe;At yppe kiv er at foranledige alvorlig uenighed.;7
Ødeland;En person der ødsler sine penge bort. Kan også betyde en flottenhejmer.;7
Ørefigen;Lussing;7
